513010200,EVENT_Retort_TSensor1_Temperature_Overrange,67175950
513010203,EVENT_Retort_TSensor1_Temperature_Overrange,67175951
513010204,EVENT_Retort_TSensor1_Temperature_Overrange,67175952
513010205,EVENT_Retort_TSensor1_Temperature_Overrange,67175952
513010206,EVENT_Retort_TSensor1_Temperature_Overrange,67175951
513010208,EVENT_Retort_TSensor1_Temperature_Overrange,67175951
513010220,EVENT_Retort_TSensor2_Temperature_Overrange,67175955
513010223,EVENT_Retort_TSensor2_Temperature_Overrange,67175956
513010224,EVENT_Retort_TSensor2_Temperature_Overrange,67175957
513010225,EVENT_Retort_TSensor2_Temperature_Overrange,67175957
513010226,EVENT_Retort_TSensor2_Temperature_Overrange,67175956
513010228,EVENT_Retort_TSensor2_Temperature_Overrange,67175956
513010240,EVENT_Retort_TSensor3_Temperature_Overrange,67175960
513010243,EVENT_Retort_TSensor3_Temperature_Overrange,67175961
513010244,EVENT_Retort_TSensor3_Temperature_Overrange,67175962
513010245,EVENT_Retort_TSensor3_Temperature_Overrange,67175962
513010246,EVENT_Retort_TSensor3_Temperature_Overrange,67175961
513010248,EVENT_Retort_TSensor3_Temperature_Overrange,67175961
513010210,EVENT_Retort_TSensor1_Temperature_Nosignal,67175953
513010213,EVENT_Retort_TSensor1_Temperature_Nosignal,67175954
513010230,EVENT_Retort_TSensor2_Temperature_Nosignal,67175958
513010233,EVENT_Retort_TSensor2_Temperature_Nosignal,67175959
513010250,EVENT_Retort_TSensor3_Temperature_Nosignal,67175963
513010253,EVENT_Retort_TSensor3_Temperature_Nosignal,67175964
513010260,EVENT_Retort_TSensor1_to_2_Selfcalibration_Failed,67175965
513010263,EVENT_Retort_TSensor1_to_2_Selfcalibration_Failed,67175966
513010264,EVENT_Retort_TSensor1_to_2_Selfcalibration_Failed,67175967
513010265,EVENT_Retort_TSensor1_to_2_Selfcalibration_Failed,67175967
513010266,EVENT_Retort_TSensor1_to_2_Selfcalibration_Failed,67175966
513010268,EVENT_Retort_TSensor1_to_2_Selfcalibration_Failed,67175966
513010300,EVENT_Retort_Levelsensor_Heating_Overtime,67175936
513010312,EVENT_Retort_Levelsensor_Heating_Overtime,67175936
513010320,EVENT_Levelsensor_Temperature_Overrange,67175936
513010332,EVENT_Levelsensor_Temperature_Overrange,67175936
513010461,EVENT_Lidlock_Close_Status_Error,67175948
513010462,EVENT_Lidlock_Close_Status_Error,67175948
513010601,EVENT_Retort_Heating_Overtime,67176008
513020020,EVENT_WaxBath_TSensorUp_OutofRange,67175968
513020023,EVENT_WaxBath_TSensorUp_OutofRange,67175968
513020030,EVENT_WaxBath_TSensorDown1_OutofRange,67175969
